READING_DATETIME, GENERAL_SUPPLY_KWH
2013-06-01 00:00:00+00:00,1464.0
2013-06-01 01:00:00+00:00,90.0
2013-06-01 02:00:00+00:00,671.0
2013-06-01 03:00:00+00:00,82.0
2013-06-01 04:00:00+00:00,134.0
2013-06-01 05:00:00+00:00,142.00000000000003
2013-06-01 06:00:00+00:00,618.0
2013-06-01 07:00:00+00:00,1619.0000000000002
2013-06-01 08:00:00+00:00,850.0
2013-06-01 09:00:00+00:00,1549.0
2013-06-01 10:00:00+00:00,2797.0
2013-06-01 11:00:00+00:00,84.99999999999999
2013-06-01 12:00:00+00:00,722.0
2013-06-01 13:00:00+00:00,564.0
2013-06-01 14:00:00+00:00,654.0
2013-06-01 15:00:00+00:00,1223.0
2013-06-01 16:00:00+00:00,269.0
2013-06-01 17:00:00+00:00,791.9999999999999
2013-06-01 18:00:00+00:00,201.0
2013-06-01 19:00:00+00:00,628.0
2013-06-01 20:00:00+00:00,424.0
2013-06-01 21:00:00+00:00,474.0
2013-06-01 22:00:00+00:00,898.0
2013-06-01 23:00:00+00:00,270.0
2013-06-02 00:00:00+00:00,139.0
2013-06-02 01:00:00+00:00,118.0
2013-06-02 02:00:00+00:00,759.0000000000001
2013-06-02 03:00:00+00:00,114.99999999999999
2013-06-02 04:00:00+00:00,119.0
2013-06-02 05:00:00+00:00,120.0
2013-06-02 06:00:00+00:00,114.99999999999999
2013-06-02 07:00:00+00:00,878.0
2013-06-02 08:00:00+00:00,1545.9999999999998
2013-06-02 09:00:00+00:00,2158.0
2013-06-02 10:00:00+00:00,1581.0
2013-06-02 11:00:00+00:00,673.9999999999999
2013-06-02 12:00:00+00:00,1269.0000000000002
2013-06-02 13:00:00+00:00,110.0
2013-06-02 14:00:00+00:00,739.0000000000001
2013-06-02 15:00:00+00:00,1418.0
2013-06-02 16:00:00+00:00,1900.0000000000005
2013-06-02 17:00:00+00:00,1665.0
2013-06-02 18:00:00+00:00,2183.0
2013-06-02 19:00:00+00:00,3907.9999999999995
2013-06-02 20:00:00+00:00,1129.0
2013-06-02 21:00:00+00:00,1349.0
2013-06-02 22:00:00+00:00,2025.9999999999998
2013-06-02 23:00:00+00:00,1353.9999999999998
2013-06-03 00:00:00+00:00,1439.0
2013-06-03 01:00:00+00:00,1337.0
2013-06-03 02:00:00+00:00,857.0
2013-06-03 03:00:00+00:00,787.0
2013-06-03 04:00:00+00:00,1650.0
2013-06-03 05:00:00+00:00,2242.0
2013-06-03 06:00:00+00:00,1603.0000000000002
2013-06-03 07:00:00+00:00,3117.0
2013-06-03 08:00:00+00:00,3535.0
2013-06-03 09:00:00+00:00,2240.0
2013-06-03 10:00:00+00:00,2421.0000000000005
2013-06-03 11:00:00+00:00,322.0
2013-06-03 12:00:00+00:00,110.0
2013-06-03 13:00:00+00:00,1828.9999999999998
2013-06-03 14:00:00+00:00,739.0
2013-06-03 15:00:00+00:00,696.0000000000002
2013-06-03 16:00:00+00:00,1803.0000000000002
2013-06-03 17:00:00+00:00,1760.0
2013-06-03 18:00:00+00:00,1671.0
2013-06-03 19:00:00+00:00,2268.0
2013-06-03 20:00:00+00:00,3005.0
2013-06-03 21:00:00+00:00,2041.9999999999998
2013-06-03 22:00:00+00:00,2674.0
2013-06-03 23:00:00+00:00,2559.9999999999995
2013-06-04 00:00:00+00:00,3899.0
2013-06-04 01:00:00+00:00,2179.9999999999995
2013-06-04 02:00:00+00:00,1722.0
2013-06-04 03:00:00+00:00,2325.0
2013-06-04 04:00:00+00:00,1775.0
2013-06-04 05:00:00+00:00,1742.9999999999998
2013-06-04 06:00:00+00:00,2135.0000000000005
2013-06-04 07:00:00+00:00,3514.9999999999995
2013-06-04 08:00:00+00:00,1963.0
2013-06-04 09:00:00+00:00,2336.0
2013-06-04 10:00:00+00:00,915.0
2013-06-04 11:00:00+00:00,2495.0
2013-06-04 12:00:00+00:00,2354.0
2013-06-04 13:00:00+00:00,685.0
2013-06-04 14:00:00+00:00,1230.0
2013-06-04 15:00:00+00:00,198.0
2013-06-04 16:00:00+00:00,687.0
2013-06-04 17:00:00+00:00,80.00000000000001
2013-06-04 18:00:00+00:00,74.00000000000001
