READING_DATETIME, GENERAL_SUPPLY_KWH
2013-06-01 00:00:00+00:00,1348.9999999999998
2013-06-01 01:00:00+00:00,749.0
2013-06-01 02:00:00+00:00,721.0000000000001
2013-06-01 03:00:00+00:00,653.9999999999999
2013-06-01 04:00:00+00:00,639.0
2013-06-01 05:00:00+00:00,619.0
2013-06-01 06:00:00+00:00,627.0
2013-06-01 07:00:00+00:00,612.0
2013-06-01 08:00:00+00:00,622.0
2013-06-01 09:00:00+00:00,675.9999999999999
2013-06-01 10:00:00+00:00,888.0
2013-06-01 11:00:00+00:00,758.9999999999999
2013-06-01 12:00:00+00:00,1589.9999999999998
2013-06-01 13:00:00+00:00,1041.0
2013-06-01 14:00:00+00:00,1006.0
2013-06-01 15:00:00+00:00,3235.0
2013-06-01 16:00:00+00:00,3273.0
2013-06-01 17:00:00+00:00,1934.0
2013-06-01 18:00:00+00:00,1448.9999999999998
2013-06-01 19:00:00+00:00,1696.0000000000002
2013-06-01 20:00:00+00:00,1931.0
2013-06-01 21:00:00+00:00,1636.0000000000002
2013-06-01 22:00:00+00:00,1269.0000000000002
2013-06-01 23:00:00+00:00,1114.0
2013-06-02 00:00:00+00:00,945.0
2013-06-02 01:00:00+00:00,603.0
2013-06-02 02:00:00+00:00,656.0
2013-06-02 03:00:00+00:00,635.0
2013-06-02 04:00:00+00:00,645.0
2013-06-02 05:00:00+00:00,627.0
2013-06-02 06:00:00+00:00,635.9999999999999
2013-06-02 07:00:00+00:00,615.0
2013-06-02 08:00:00+00:00,628.0
2013-06-02 09:00:00+00:00,784.9999999999999
2013-06-02 10:00:00+00:00,1074.0
2013-06-02 11:00:00+00:00,1305.0000000000002
2013-06-02 12:00:00+00:00,1403.0
2013-06-02 13:00:00+00:00,3027.0
2013-06-02 14:00:00+00:00,1654.0
2013-06-02 15:00:00+00:00,1454.0
2013-06-02 16:00:00+00:00,1466.0
2013-06-02 17:00:00+00:00,1049.9999999999998
2013-06-02 18:00:00+00:00,1351.0
2013-06-02 19:00:00+00:00,2759.0
2013-06-02 20:00:00+00:00,3618.0000000000005
2013-06-02 21:00:00+00:00,4668.0
2013-06-02 22:00:00+00:00,1870.0
2013-06-02 23:00:00+00:00,1101.9999999999998
2013-06-03 00:00:00+00:00,634.0
2013-06-03 01:00:00+00:00,690.0
2013-06-03 02:00:00+00:00,740.0
2013-06-03 03:00:00+00:00,671.9999999999999
2013-06-03 04:00:00+00:00,562.0
2013-06-03 05:00:00+00:00,570.0000000000001
2013-06-03 06:00:00+00:00,533.0
2013-06-03 07:00:00+00:00,1283.0
2013-06-03 08:00:00+00:00,4417.999999999999
2013-06-03 09:00:00+00:00,1459.0
2013-06-03 10:00:00+00:00,839.0
2013-06-03 11:00:00+00:00,716.0
2013-06-03 12:00:00+00:00,769.0000000000001
2013-06-03 13:00:00+00:00,764.0
2013-06-03 14:00:00+00:00,843.0
2013-06-03 15:00:00+00:00,1964.0
2013-06-03 16:00:00+00:00,1857.0000000000002
2013-06-03 17:00:00+00:00,1092.0
2013-06-03 18:00:00+00:00,1512.0
2013-06-03 19:00:00+00:00,2119.0
2013-06-03 20:00:00+00:00,2128.0
2013-06-03 21:00:00+00:00,1689.0
2013-06-03 22:00:00+00:00,1112.0
2013-06-03 23:00:00+00:00,1080.0
2013-06-04 00:00:00+00:00,762.0
2013-06-04 01:00:00+00:00,627.0
2013-06-04 02:00:00+00:00,650.9999999999999
2013-06-04 03:00:00+00:00,630.0
2013-06-04 04:00:00+00:00,512.0
2013-06-04 05:00:00+00:00,532.9999999999999
2013-06-04 06:00:00+00:00,498.0
2013-06-04 07:00:00+00:00,784.9999999999999
