READING_DATETIME, GENERAL_SUPPLY_KWH
2013-06-01 00:00:00+00:00,1348.0
2013-06-01 01:00:00+00:00,59.00000000000001
2013-06-01 02:00:00+00:00,58.0
2013-06-01 03:00:00+00:00,58.0
2013-06-01 04:00:00+00:00,56.99999999999999
2013-06-01 05:00:00+00:00,56.0
2013-06-01 06:00:00+00:00,54.0
2013-06-01 07:00:00+00:00,696.0000000000001
2013-06-01 08:00:00+00:00,53.0
2013-06-01 09:00:00+00:00,54.0
2013-06-01 10:00:00+00:00,262.0
2013-06-01 11:00:00+00:00,496.0
2013-06-01 12:00:00+00:00,113.0
2013-06-01 13:00:00+00:00,110.0
2013-06-01 14:00:00+00:00,808.0
2013-06-01 15:00:00+00:00,110.0
2013-06-01 16:00:00+00:00,117.0
2013-06-01 17:00:00+00:00,125.0
2013-06-01 18:00:00+00:00,159.0
2013-06-01 19:00:00+00:00,159.0
2013-06-01 20:00:00+00:00,157.0
2013-06-01 21:00:00+00:00,428.0
2013-06-01 22:00:00+00:00,943.0000000000001
2013-06-01 23:00:00+00:00,210.00000000000003
2013-06-02 00:00:00+00:00,1828.0
2013-06-02 01:00:00+00:00,489.0
2013-06-02 02:00:00+00:00,193.0
2013-06-02 03:00:00+00:00,835.0
2013-06-02 04:00:00+00:00,84.99999999999999
2013-06-02 05:00:00+00:00,84.99999999999999
2013-06-02 06:00:00+00:00,84.0
2013-06-02 07:00:00+00:00,742.0
2013-06-02 08:00:00+00:00,82.99999999999999
2013-06-02 09:00:00+00:00,83.99999999999999
2013-06-02 10:00:00+00:00,462.99999999999994
2013-06-02 11:00:00+00:00,199.0
2013-06-02 12:00:00+00:00,242.0
2013-06-02 13:00:00+00:00,1301.0
2013-06-02 14:00:00+00:00,489.0
2013-06-02 15:00:00+00:00,675.9999999999999
2013-06-02 16:00:00+00:00,657.0
2013-06-02 17:00:00+00:00,370.0
2013-06-02 18:00:00+00:00,373.00000000000006
2013-06-02 19:00:00+00:00,365.00000000000006
2013-06-02 20:00:00+00:00,365.0
2013-06-02 21:00:00+00:00,1656.0000000000002
2013-06-02 22:00:00+00:00,961.0000000000001
2013-06-02 23:00:00+00:00,992.0
2013-06-03 00:00:00+00:00,2531.0
2013-06-03 01:00:00+00:00,901.9999999999999
2013-06-03 02:00:00+00:00,1012.0
2013-06-03 03:00:00+00:00,225.99999999999997
2013-06-03 04:00:00+00:00,223.99999999999997
2013-06-03 05:00:00+00:00,222.0
2013-06-03 06:00:00+00:00,851.0
2013-06-03 07:00:00+00:00,222.0
2013-06-03 08:00:00+00:00,879.0
2013-06-03 09:00:00+00:00,1181.0
2013-06-03 10:00:00+00:00,908.0
2013-06-03 11:00:00+00:00,890.0
2013-06-03 12:00:00+00:00,903.9999999999999
2013-06-03 13:00:00+00:00,307.0
2013-06-03 14:00:00+00:00,2130.0
2013-06-03 15:00:00+00:00,798.0
2013-06-03 16:00:00+00:00,2445.9999999999995
2013-06-03 17:00:00+00:00,344.0
2013-06-03 18:00:00+00:00,1036.0
2013-06-03 19:00:00+00:00,336.99999999999994
2013-06-03 20:00:00+00:00,334.99999999999994
2013-06-03 21:00:00+00:00,3010.0
2013-06-03 22:00:00+00:00,1416.0
2013-06-03 23:00:00+00:00,1647.0
2013-06-04 00:00:00+00:00,3096.0
2013-06-04 01:00:00+00:00,495.0
2013-06-04 02:00:00+00:00,935.0
2013-06-04 03:00:00+00:00,302.00000000000006
2013-06-04 04:00:00+00:00,301.00000000000006
2013-06-04 05:00:00+00:00,298.0
2013-06-04 06:00:00+00:00,898.0
2013-06-04 07:00:00+00:00,297.00000000000006
2013-06-04 08:00:00+00:00,1333.9999999999998
2013-06-04 09:00:00+00:00,71.0
2013-06-04 10:00:00+00:00,41.0
2013-06-04 11:00:00+00:00,42.0
2013-06-04 12:00:00+00:00,592.0000000000001
2013-06-04 13:00:00+00:00,24.0
2013-06-04 14:00:00+00:00,55.0
2013-06-04 15:00:00+00:00,181.0
2013-06-04 16:00:00+00:00,127.0
2013-06-04 17:00:00+00:00,135.0
2013-06-04 18:00:00+00:00,1103.9999999999998
2013-06-04 19:00:00+00:00,420.00000000000006
2013-06-04 20:00:00+00:00,351.0
2013-06-04 21:00:00+00:00,1862.0
2013-06-04 22:00:00+00:00,632.0
2013-06-04 23:00:00+00:00,2550.0000000000005
2013-06-05 00:00:00+00:00,1783.0000000000002
2013-06-05 01:00:00+00:00,1998.0
2013-06-05 02:00:00+00:00,3003.0
2013-06-05 03:00:00+00:00,382.0
2013-06-05 04:00:00+00:00,907.0
2013-06-05 05:00:00+00:00,290.00000000000006
2013-06-05 06:00:00+00:00,384.0
2013-06-05 07:00:00+00:00,322.0
2013-06-05 08:00:00+00:00,305.00000000000006
2013-06-05 09:00:00+00:00,1236.0
2013-06-05 10:00:00+00:00,55.0
2013-06-05 11:00:00+00:00,693.0
2013-06-05 12:00:00+00:00,53.0
2013-06-05 13:00:00+00:00,53.0
2013-06-05 14:00:00+00:00,55.0
2013-06-05 15:00:00+00:00,54.0
2013-06-05 16:00:00+00:00,55.0
2013-06-05 17:00:00+00:00,619.0
2013-06-05 18:00:00+00:00,196.0
2013-06-05 19:00:00+00:00,203.0
2013-06-05 20:00:00+00:00,338.0
2013-06-05 21:00:00+00:00,1089.0
2013-06-05 22:00:00+00:00,526.9999999999999
2013-06-05 23:00:00+00:00,502.0
2013-06-06 00:00:00+00:00,3753.0
2013-06-06 01:00:00+00:00,357.0
2013-06-06 02:00:00+00:00,867.0
2013-06-06 03:00:00+00:00,54.00000000000001
2013-06-06 04:00:00+00:00,54.00000000000001
2013-06-06 05:00:00+00:00,466.00000000000006
2013-06-06 06:00:00+00:00,317.0
2013-06-06 07:00:00+00:00,52.00000000000001
2013-06-06 08:00:00+00:00,1059.9999999999998
2013-06-06 09:00:00+00:00,627.0
2013-06-06 10:00:00+00:00,167.99999999999997
2013-06-06 11:00:00+00:00,821.0
2013-06-06 12:00:00+00:00,88.0
2013-06-06 13:00:00+00:00,90.0
2013-06-06 14:00:00+00:00,684.0
