READING_DATETIME, GENERAL_SUPPLY_KWH
2013-06-01 00:00:00+00:00,339.99999999999994
2013-06-01 01:00:00+00:00,304.0
2013-06-01 02:00:00+00:00,287.00000000000006
2013-06-01 03:00:00+00:00,331.0
2013-06-01 04:00:00+00:00,313.0
2013-06-01 05:00:00+00:00,357.0
2013-06-01 06:00:00+00:00,406.0
2013-06-01 07:00:00+00:00,599.0
2013-06-01 08:00:00+00:00,569.0000000000001
2013-06-01 09:00:00+00:00,1038.0
2013-06-01 10:00:00+00:00,681.9999999999999
2013-06-01 11:00:00+00:00,864.0
2013-06-01 12:00:00+00:00,977.0000000000001
2013-06-01 13:00:00+00:00,748.0
2013-06-01 14:00:00+00:00,659.0
2013-06-01 15:00:00+00:00,950.0000000000001
2013-06-01 16:00:00+00:00,1268.0
2013-06-01 17:00:00+00:00,501.0
2013-06-01 18:00:00+00:00,619.0
2013-06-01 19:00:00+00:00,1264.0000000000002
2013-06-01 20:00:00+00:00,1797.0
2013-06-01 21:00:00+00:00,1104.0
2013-06-01 22:00:00+00:00,1085.0
2013-06-01 23:00:00+00:00,767.0
2013-06-02 00:00:00+00:00,443.99999999999994
2013-06-02 01:00:00+00:00,382.0
2013-06-02 02:00:00+00:00,402.0
2013-06-02 03:00:00+00:00,331.99999999999994
2013-06-02 04:00:00+00:00,479.0
2013-06-02 05:00:00+00:00,417.0
2013-06-02 06:00:00+00:00,440.99999999999994
2013-06-02 07:00:00+00:00,395.0
2013-06-02 08:00:00+00:00,407.0
2013-06-02 09:00:00+00:00,524.0
2013-06-02 10:00:00+00:00,647.0
2013-06-02 11:00:00+00:00,669.9999999999999
2013-06-02 12:00:00+00:00,1375.0
2013-06-02 13:00:00+00:00,1099.0
2013-06-02 14:00:00+00:00,1613.9999999999998
2013-06-02 15:00:00+00:00,2314.0
2013-06-02 16:00:00+00:00,1775.0
2013-06-02 17:00:00+00:00,1724.0000000000002
2013-06-02 18:00:00+00:00,2359.0
2013-06-02 19:00:00+00:00,2617.0
2013-06-02 20:00:00+00:00,2791.0
2013-06-02 21:00:00+00:00,1291.9999999999998
2013-06-02 22:00:00+00:00,1186.9999999999998
2013-06-02 23:00:00+00:00,964.0
2013-06-03 00:00:00+00:00,335.99999999999994
2013-06-03 01:00:00+00:00,320.0
2013-06-03 02:00:00+00:00,352.0
2013-06-03 03:00:00+00:00,328.99999999999994
2013-06-03 04:00:00+00:00,347.0
2013-06-03 05:00:00+00:00,315.0
2013-06-03 06:00:00+00:00,450.0
2013-06-03 07:00:00+00:00,875.0
2013-06-03 08:00:00+00:00,698.0
2013-06-03 09:00:00+00:00,879.0
2013-06-03 10:00:00+00:00,1603.9999999999998
2013-06-03 11:00:00+00:00,1079.0000000000002
2013-06-03 12:00:00+00:00,427.0
2013-06-03 13:00:00+00:00,445.0
2013-06-03 14:00:00+00:00,566.0
2013-06-03 15:00:00+00:00,443.0
2013-06-03 16:00:00+00:00,481.0
2013-06-03 17:00:00+00:00,511.0
2013-06-03 18:00:00+00:00,677.0
2013-06-03 19:00:00+00:00,1545.0
2013-06-03 20:00:00+00:00,1601.9999999999998
2013-06-03 21:00:00+00:00,2178.0
2013-06-03 22:00:00+00:00,2278.0
2013-06-03 23:00:00+00:00,1238.0
2013-06-04 00:00:00+00:00,394.0
2013-06-04 01:00:00+00:00,461.99999999999994
2013-06-04 02:00:00+00:00,429.0
2013-06-04 03:00:00+00:00,369.0
2013-06-04 04:00:00+00:00,364.0
2013-06-04 05:00:00+00:00,331.0
2013-06-04 06:00:00+00:00,362.0
2013-06-04 07:00:00+00:00,1967.0
2013-06-04 08:00:00+00:00,2392.0
2013-06-04 09:00:00+00:00,1586.0
2013-06-04 10:00:00+00:00,1024.0
2013-06-04 11:00:00+00:00,686.0
2013-06-04 12:00:00+00:00,538.9999999999999
2013-06-04 13:00:00+00:00,447.99999999999994
2013-06-04 14:00:00+00:00,495.0
2013-06-04 15:00:00+00:00,548.9999999999999
2013-06-04 16:00:00+00:00,532.0
2013-06-04 17:00:00+00:00,457.0
2013-06-04 18:00:00+00:00,1686.0
2013-06-04 19:00:00+00:00,1222.0
2013-06-04 20:00:00+00:00,2537.0
2013-06-04 21:00:00+00:00,1091.0000000000002
2013-06-04 22:00:00+00:00,1128.0
2013-06-04 23:00:00+00:00,436.0
2013-06-05 00:00:00+00:00,278.0
