READING_DATETIME, GENERAL_SUPPLY_KWH
2013-06-01 00:00:00+00:00,1387.0
2013-06-01 01:00:00+00:00,2657.0
2013-06-01 02:00:00+00:00,669.0
2013-06-01 03:00:00+00:00,671.0
2013-06-01 04:00:00+00:00,546.0
2013-06-01 05:00:00+00:00,386.0
2013-06-01 06:00:00+00:00,2086.0000000000005
2013-06-01 07:00:00+00:00,4746.0
2013-06-01 08:00:00+00:00,3770.0
2013-06-01 09:00:00+00:00,3554.0000000000005
2013-06-01 10:00:00+00:00,4099.0
2013-06-01 11:00:00+00:00,4113.0
2013-06-01 12:00:00+00:00,2697.9999999999995
2013-06-01 13:00:00+00:00,2483.0
2013-06-01 14:00:00+00:00,2102.0000000000005
2013-06-01 15:00:00+00:00,1931.0
2013-06-01 16:00:00+00:00,2137.0
2013-06-01 17:00:00+00:00,2901.0
2013-06-01 18:00:00+00:00,3181.0
2013-06-01 19:00:00+00:00,3192.0
2013-06-01 20:00:00+00:00,2685.0
2013-06-01 21:00:00+00:00,1064.0
2013-06-01 22:00:00+00:00,760.0
2013-06-01 23:00:00+00:00,639.0
2013-06-02 00:00:00+00:00,1117.9999999999998
2013-06-02 01:00:00+00:00,1003.0000000000001
2013-06-02 02:00:00+00:00,538.0
2013-06-02 03:00:00+00:00,384.0
2013-06-02 04:00:00+00:00,361.0
2013-06-02 05:00:00+00:00,362.0
2013-06-02 06:00:00+00:00,356.0
2013-06-02 07:00:00+00:00,317.0
2013-06-02 08:00:00+00:00,301.00000000000006
2013-06-02 09:00:00+00:00,384.0
2013-06-02 10:00:00+00:00,1686.0
2013-06-02 11:00:00+00:00,3371.0
2013-06-02 12:00:00+00:00,3980.0
2013-06-02 13:00:00+00:00,1446.0
2013-06-02 14:00:00+00:00,3643.9999999999995
2013-06-02 15:00:00+00:00,3016.0
2013-06-02 16:00:00+00:00,2900.0000000000005
2013-06-02 17:00:00+00:00,2905.0000000000005
2013-06-02 18:00:00+00:00,3211.9999999999995
2013-06-02 19:00:00+00:00,3401.0
2013-06-02 20:00:00+00:00,3529.0
2013-06-02 21:00:00+00:00,3381.9999999999995
2013-06-02 22:00:00+00:00,1319.9999999999998
2013-06-02 23:00:00+00:00,880.0
2013-06-03 00:00:00+00:00,812.0
2013-06-03 01:00:00+00:00,818.0
2013-06-03 02:00:00+00:00,813.0
