READING_DATETIME, GENERAL_SUPPLY_KWH
2013-06-01 00:00:00+00:00,745.0
2013-06-01 01:00:00+00:00,316.00000000000006
2013-06-01 02:00:00+00:00,288.00000000000006
2013-06-01 03:00:00+00:00,338.0
2013-06-01 04:00:00+00:00,345.0
2013-06-01 05:00:00+00:00,173.0
2013-06-01 06:00:00+00:00,118.0
2013-06-01 07:00:00+00:00,142.00000000000003
2013-06-01 08:00:00+00:00,353.0
2013-06-01 09:00:00+00:00,522.0
2013-06-01 10:00:00+00:00,488.0
2013-06-01 11:00:00+00:00,464.99999999999994
2013-06-01 12:00:00+00:00,451.0
2013-06-01 13:00:00+00:00,1271.0
2013-06-01 14:00:00+00:00,1175.0
2013-06-01 15:00:00+00:00,800.9999999999999
2013-06-01 16:00:00+00:00,916.9999999999999
2013-06-01 17:00:00+00:00,1359.9999999999998
2013-06-01 18:00:00+00:00,1343.0
2013-06-01 19:00:00+00:00,2426.0
2013-06-01 20:00:00+00:00,1498.0
2013-06-01 21:00:00+00:00,1226.9999999999998
2013-06-01 22:00:00+00:00,1103.0
2013-06-01 23:00:00+00:00,962.0
2013-06-02 00:00:00+00:00,1628.0
2013-06-02 01:00:00+00:00,367.0
2013-06-02 02:00:00+00:00,334.99999999999994
2013-06-02 03:00:00+00:00,279.0
2013-06-02 04:00:00+00:00,174.0
2013-06-02 05:00:00+00:00,147.00000000000003
2013-06-02 06:00:00+00:00,230.99999999999997
2013-06-02 07:00:00+00:00,213.99999999999997
2013-06-02 08:00:00+00:00,201.0
2013-06-02 09:00:00+00:00,304.00000000000006
2013-06-02 10:00:00+00:00,544.0
2013-06-02 11:00:00+00:00,1014.9999999999999
2013-06-02 12:00:00+00:00,938.0
2013-06-02 13:00:00+00:00,624.0
2013-06-02 14:00:00+00:00,282.0
2013-06-02 15:00:00+00:00,530.0
2013-06-02 16:00:00+00:00,419.0
2013-06-02 17:00:00+00:00,912.0000000000001
2013-06-02 18:00:00+00:00,1113.9999999999998
2013-06-02 19:00:00+00:00,1115.0
2013-06-02 20:00:00+00:00,618.0
2013-06-02 21:00:00+00:00,1514.0
2013-06-02 22:00:00+00:00,1325.0
2013-06-02 23:00:00+00:00,1771.0
2013-06-03 00:00:00+00:00,814.0
2013-06-03 01:00:00+00:00,112.99999999999999
2013-06-03 02:00:00+00:00,177.00000000000003
2013-06-03 03:00:00+00:00,345.0
2013-06-03 04:00:00+00:00,275.0
2013-06-03 05:00:00+00:00,249.0
2013-06-03 06:00:00+00:00,247.0
2013-06-03 07:00:00+00:00,269.0
