READING_DATETIME, GENERAL_SUPPLY_KWH
2013-06-01 00:00:00+00:00,496.0
2013-06-01 01:00:00+00:00,237.0
2013-06-01 02:00:00+00:00,236.0
2013-06-01 03:00:00+00:00,190.0
2013-06-01 04:00:00+00:00,223.0
2013-06-01 05:00:00+00:00,196.0
2013-06-01 06:00:00+00:00,189.0
2013-06-01 07:00:00+00:00,235.0
2013-06-01 08:00:00+00:00,205.00000000000003
2013-06-01 09:00:00+00:00,192.0
2013-06-01 10:00:00+00:00,722.0
2013-06-01 11:00:00+00:00,258.0
2013-06-01 12:00:00+00:00,270.0
2013-06-01 13:00:00+00:00,737.0000000000001
2013-06-01 14:00:00+00:00,692.0
2013-06-01 15:00:00+00:00,485.0
2013-06-01 16:00:00+00:00,540.0
2013-06-01 17:00:00+00:00,399.0
2013-06-01 18:00:00+00:00,936.0
2013-06-01 19:00:00+00:00,1986.0
2013-06-01 20:00:00+00:00,1010.0
2013-06-01 21:00:00+00:00,948.0
2013-06-01 22:00:00+00:00,760.0
2013-06-01 23:00:00+00:00,652.0
2013-06-02 00:00:00+00:00,774.0
2013-06-02 01:00:00+00:00,712.0000000000001
2013-06-02 02:00:00+00:00,313.0
2013-06-02 03:00:00+00:00,251.0
2013-06-02 04:00:00+00:00,201.0
2013-06-02 05:00:00+00:00,200.0
2013-06-02 06:00:00+00:00,277.0
2013-06-02 07:00:00+00:00,185.0
2013-06-02 08:00:00+00:00,229.00000000000003
2013-06-02 09:00:00+00:00,226.99999999999997
2013-06-02 10:00:00+00:00,605.0
2013-06-02 11:00:00+00:00,515.0
2013-06-02 12:00:00+00:00,981.0000000000001
2013-06-02 13:00:00+00:00,1424.0
2013-06-02 14:00:00+00:00,835.0
2013-06-02 15:00:00+00:00,1006.0
2013-06-02 16:00:00+00:00,758.0
2013-06-02 17:00:00+00:00,603.0
2013-06-02 18:00:00+00:00,1369.0
2013-06-02 19:00:00+00:00,1464.0
2013-06-02 20:00:00+00:00,1652.0
2013-06-02 21:00:00+00:00,983.0
2013-06-02 22:00:00+00:00,725.0
2013-06-02 23:00:00+00:00,627.0
2013-06-03 00:00:00+00:00,310.0
2013-06-03 01:00:00+00:00,226.0
2013-06-03 02:00:00+00:00,271.0
2013-06-03 03:00:00+00:00,219.0
2013-06-03 04:00:00+00:00,228.99999999999997
2013-06-03 05:00:00+00:00,249.0
2013-06-03 06:00:00+00:00,224.0
2013-06-03 07:00:00+00:00,206.00000000000003
